16	8	E	-2151012.512463374	200
emissionprobs	13	3	H3K4me3	0	0.9989433662810366
emissionprobs	13	3	H3K4me3	1	0.0010566337189633055
emissionprobs	13	4	H3K9me3	0	0.9899015644171403
emissionprobs	13	4	H3K9me3	1	0.010098435582859696
emissionprobs	13	5	H3k27me3	0	0.9984710220467728
emissionprobs	13	5	H3k27me3	1	0.0015289779532272382
emissionprobs	13	6	Pol2	0	0.997054039300067
emissionprobs	13	6	Pol2	1	0.002945960699933068
emissionprobs	13	7	p300	0	0.9752110601549709
emissionprobs	13	7	p300	1	0.02478893984502906
emissionprobs	14	0	H3K27ac	0	0.15171321707439356
emissionprobs	14	0	H3K27ac	1	0.8482867829256064
emissionprobs	14	1	H3K36me3	0	0.986423341071267
emissionprobs	14	1	H3K36me3	1	0.01357665892873315
emissionprobs	14	2	H3K4me1	0	0.5791813452938643
emissionprobs	14	2	H3K4me1	1	0.4208186547061358
emissionprobs	14	3	H3K4me3	0	0.2585008848188377
emissionprobs	14	3	H3K4me3	1	0.7414991151811623
emissionprobs	14	4	H3K9me3	0	0.9949251620681917
emissionprobs	14	4	H3K9me3	1	0.005074837931808321
emissionprobs	14	5	H3k27me3	0	0.9900538603695065
emissionprobs	14	5	H3k27me3	1	0.009946139630493504
emissionprobs	14	6	Pol2	0	0.9675460634955089
emissionprobs	14	6	Pol2	1	0.032453936504491195
emissionprobs	14	7	p300	0	0.976490498540003
emissionprobs	14	7	p300	1	0.02350950145999702
emissionprobs	15	0	H3K27ac	0	4.033281030825283E-130
emissionprobs	15	0	H3K27ac	1	1.0
emissionprobs	15	1	H3K36me3	0	0.9716276814882401
emissionprobs	15	1	H3K36me3	1	0.028372318511759986
emissionprobs	15	2	H3K4me1	0	0.9387898676713298
emissionprobs	15	2	H3K4me1	1	0.06121013232867017
emissionprobs	15	3	H3K4me3	0	0.07279996141288006
emissionprobs	15	3	H3K4me3	1	0.92720003858712
emissionprobs	15	4	H3K9me3	0	0.9859567556746394
emissionprobs	15	4	H3K9me3	1	0.01404324432536067
emissionprobs	15	5	H3k27me3	0	0.9998751245037918
emissionprobs	15	5	H3k27me3	1	1.2487549620821619E-4
emissionprobs	15	6	Pol2	0	0.5865659275633569
emissionprobs	15	6	Pol2	1	0.41343407243664315
emissionprobs	15	7	p300	0	0.6735240329219746
emissionprobs	15	7	p300	1	0.3264759670780254
emissionprobs	16	0	H3K27ac	0	0.8820003490354126
emissionprobs	16	0	H3K27ac	1	0.1179996509645874
emissionprobs	16	1	H3K36me3	0	0.7329777449375593
emissionprobs	16	1	H3K36me3	1	0.26702225506244076
emissionprobs	16	2	H3K4me1	0	0.9555393603517766
